news_folder,news_text_raw,isFake
K1CeK8w5d8qgf,这是助农吗？这是对农民的W辱，农民2亩地能赚这赚这么多钱吗？他们这是对农民极大的侮辱。必须严查，给农民一点平衡的心。 花费49万！我来算一下费用，耕田300元 种子200元 化肥加农药300元 收割机收稻谷费用300元（收稻谷就不用请这两百人了，这比插秧累多了）按亩产1000斤来算就是2000斤粮食，按市场,1
ObVmV3OKY,【#马斯克自称是中国的粉丝#】4月28日下午，应中国贸促会邀请，美国特斯拉公司首席执行官埃隆·马斯克抵达北京。我问他看到北京街上的电动车有什么想法时，他说很高兴看到中国电动汽车行业飞速发展，他认为未来所有汽车都将是电动的。在与中国贸促会会长任鸿斌座谈时，他亦表达了对中国的喜爱：“如果我,0
OceULgiDE,乐山大佛，它的真实形象永远是个迷,0
OcCl5lN80,其实胖猫犯了大多数20岁左右男生都会犯的错：  1、我只要努力工作，努力赚钱，就会得到爱情。  2、我只要给女生花钱，女生就不会离开我。  3、钱是通往女性灵魂的唯一通道。  4、她如果不爱我，我会付出生命。  5、没有她我就活不了。  与其说胖猫是纯爱战士，反而觉得他是一个“自我感动”的缺爱战士,0
K1CeK7g9k6K8f,马云还是去了那个心心念念的所谓非常尊重企业的新加坡建总部去了！     总部大楼拔地而起，305米的大楼地标建筑，新加坡第一高楼，2028年完成！     以后阿里巴巴会不会整体去新加坡，我们不得而知，但是马爸爸的心彻底放飞了！     前面马爸爸说要当马老师，培养更多的创业者出来，看来人家马爸爸压根,1
K1CaQ7gpk7qsm,网传一段坠机前视频曝光！希望以后永远不要发生此事了🙏🙏🙏愿逝者安息！[蜡烛][蜡烛][蜡烛]视频转发自网络，看样子不是埃航视频 http://t.cn/Exbqn0S,1
O9uELyqjT,#每日老鞋致青春# Hyperdunk 2008能否作为耐克篮球鞋的代表作？,0
OcC8z9K8f,#重庆长江大桥外卖鲜花成堆#【#21岁男生跳江后续#：胖猫已火化，多家品牌紧急致歉】#胖猫姐姐准备打官司追回弟弟所有被骗的钱# 近日，网传21岁湖南男生（游戏id名字“胖猫”）网恋被“女友”榨干51万积蓄后，在重庆大桥跳江结束生命。亲属称，男生疑似被pua，一天工作十几小时，最后跳江了。跳江前，他,0
OaioYy980,简简单单干干净净也太好看了🔥🔥,0
OcG6wzVLI,高铁上铺的设计考虑女生了吗？,0
K1CeK8wBf8qcl,一名25岁的男子，在武汉帕菲克健身俱乐部中南店卧举杠铃时，杠铃压到男子喉咙，不幸s亡。[衰] http://t.cn/A6OCoh7Y,1
OcKJR4Noe,如今的球鞋市場。11代也帶不太起來了～,0
OcJuljt0k,我拥有目前回头率最高的两款车，为啥依然不开心。。。,0
K1CeK7gtd76oe,网传普陀区中远两湾城小区居委会书记把保供蔬菜装进自己的轿车时被小区居民发现当场抓住？浦江镇政府已作出说明。 http://t.cn/A6XbqxPm,1
Oc5RUBWtm,马云vs雷军的午餐，你明白了什么？,0
ObWXCsKTz,【#女子因值机起冲突被航司永久拒载# 法院：航司并无不当】近日，上海市第一中级人民法院审理了一起因航空公司拒载乘客引发的人格权纠纷上诉案件，二审最终判决驳回夏女士要求航空公司停止侵权、赔礼道歉等的诉请，维持原判。  2022年7月的一天，夏女士带着女儿赶赴上海浦东机场，准备飞往香港参加入学,0
ObO57muV7,【山西汾酒业绩亮眼：319亿营收、104亿净利润，清香巨头逆势狂飙】4月25日晚间，山西汾酒发布2023年年度业绩报告、2024年第一季度业绩报告。2023年汾酒实现营业收入319.28亿元，同比增长21.8%；归属于上市公司净利润104.38亿元，同比增长28.93%。基本每股收益8.56元/股，同比增长28.78%，拟向全体股东,0
Ob5pddUKo,安踏也太懂ibo 了，这么可爱的猫猫帽子跟袜子，必须要安排上啊[憧憬],0
K1CaS7gNc66gm,屠呦呦再次落选院士，评委会给出的三个落选理由让人唏嘘  2020年的两院院士评选，我国第一位真正意义上的自然科学类诺贝尔奖获得者屠呦呦教授再次落选。评选委员会给出的落选理由是：  1、没有留洋背景，2、没有博士学位，3、没有足够的论文。  再看看国外，在英国BBC“20世纪最伟大的科学家”的评选中,1
O9pa6nGja,1960年，西安。大碗吃面的嬢嬢，是谁说饥饿来着。[笑cry],0
Ocu8z8jxq,#河北邯郸通报男生被同学灌开水#案件一晃两个来月了，有多少人和我一样，还在蹲邯郸初中生将同学杀害埋尸案的处理结果？,0
K1CaQ7gpk7qog,网传一段坠机前视频曝光！希望以后永远不要发生此事了🙏🙏🙏愿逝者安息！[蜡烛][蜡烛][蜡烛]视频转发自网络，看样子不是埃航视频 http://t.cn/Exbqn0S,1
K1CaR7wNe8qod,四川地震泥石流山洪暴发，一条长达120米的巨蛇🐍 ，腰粗直径为1.5米，今日下午两点从水里面翻腾上岸，引来数千人围观，政府相关部门高度重视，下令不准任何单位及个人对其伤害，有关专家专机飞往此地，初步断定此次地震与这庞然大物有关？,1
O8SC2A0ml,刷到乐山大佛 不要无视 评论 真的很灵🙏,0
OcyBynL5S,【直击河南大学大礼堂着火现场：屋顶基本坍塌，校友痛心“我们的大礼堂没了”】 http://t.cn/A6HPqL1C,0
O9zRetAiC,新疆女孩晒出自己的日常穿搭， 网友：“长得好像香香甜甜小蛋糕哇”~~ http://t.cn/A6TpkdW3,0
K1CeK8w5d8qYd,2亩地49万，这稻米可香了,1
K1CaR8w5e66Yf,免死金牌？玛莎拉蒂车主谭明明患有精神病[衰],1
K1CaS6gxi6a4e,Lo娘这下玩大了，这设备价值20的多万？？？？[疑问] 地规学院汉服社在银杏林拍外景，正好和测绘撞车，汉服娘以为测绘人员是盗拍她们的照片，汉服娘之后推倒测绘仪器[吃瓜] 该测绘仪器，价值20万[吃瓜] 汉服娘最后表示这是学校想坑他们钱[吃瓜] （来源:填鸭式教育受害者）  你怎么看？,1
ObXv6x0Aa,【农村彩礼“狂飙”，女性陷入两难：要被批评物化，不要如何体现价值？】#农村家庭因婚致贫返贫现象增加# 在从夫居普遍的时期，结婚往往表现为女性嫁入男方家庭，与男方父母同住，彩礼则是作为男方父母感谢女方父母辛勤养育的表示，而在当代社会，更多新婚夫妻结婚即与长辈分居，这也加剧了分家的提前,0
Obkeafh5K,论发型对穿搭的重要性（春夏版！ #城市寻美记##美妆发新品# http://t.cn/A6T3q5dg,0
K1CaQ7gpk7qok,埃航坠落前视频，人们的惨叫声这是得多绝望啊[泪] http://t.cn/ExARPcA,1
OavIB8qgD,我要碎碎念了 其实我蛮喜欢我的小雷的 穿什么都不突兀  中性穿搭也好看 而且还显瘦 以后要是撑不起抹🐻 大不了多垫几个 切 这不很简单吗哈哈哈哈哈,0
Ob13DCFes,【#国防教育法拟修订#】全民国防教育是建设巩固国防和强大人民军队的基础性工程，是弘扬爱国主义精神、增强全民国防意识的有效途径。现行国防教育法是2001年九届全国人大常委会第二十一次会议通过的，2018年进行过一次打包修改。进入新时代，国际国内环境发生许多新变化，对全民国防教育提出新的更高要,0
K1CeK7gti7asd,无法无天！女孩子一个人坐电梯要小心了！,1
ObFQ64oUh,腰上有一丝多余的肉，都不敢穿这件裙子[苦涩],0
OcQXTsgWu,一位海洋大学的女生跑步遇到黑人留学生求助，她帮忙以后，黑人留学生居然想吊她。说想回报她，问她有没有时间看电影，她说：幸好我跑的快！她还问闺蜜，要是你，你怎么办？闺蜜说：跟他说，一边自己玩去吧！ ​ http://t.cn/A6H7uWEt,0
K1CaS7gNc66gl,【屠呦呦再次落选院士，中国院士比诺贝尔奖厉害？】2015年，屠呦呦获得诺贝尔生物学奖，成为中国第一位真正意义上的自然科学类诺贝尔奖获得者。然而，她却多次评选不得院士！2020年​她在院士评选中又落选了。是因为什么原因？国际知名的科学家，还不如一些部委领导、校长、主任水平高？中国院士的条件,1
K1CeK8w9c8a8g,狗丢了，提供重要线索者奖励200万人民币，#悬赏1000万找的狗找到了#~~找狗奖励都涨了，工资还没涨[笑cry],1
Oc6GataJx,【部分高校禁止学生五一假期集体出游 #专家称学校在管理上不应过度干预#】#你认为学校禁止学生集体出游合理吗#？“五一”假期即将来临，很多人、包括高校学生已经准备踏上出游的行程。不过，记者注意到，“五一”假期前夕不少高校出台针对在校生组团出游的“禁令”，而相应规定也引发网友讨论。有人表,0
Od0b72Mjl,#官方就碰倒自行车定损3万8致歉# 近日，温州一辆自行车被定损38148元，引发热议。事情起因是一名骑友不慎碰倒了路边一辆倚靠着的自行车，之后在与车主的沟通当中，车主以官方定损为依据，向其索赔38000元，这让骑友怎么也无法接受。据介绍，开出这张报价单的是崔克牌自行车在温州的授权经销商，工作人,0
K1CaR6g1g6aol,美国总统特朗普单方宣布提高关税5%。墨西哥总统Lopez Obrador为了回敬，宣布全面放开墨西哥边境管制，偷渡客的狂欢节来临了。冲鸭！踏平美利坚。墨西哥与美国边境线长达3196公里，长期以来，墨西哥一直是偷渡客们进入美国的最佳跳板。美国需要增派边境线的成本将远高于5%关税。,1
ObNo5nJpw,室友妈妈去世我们不去告别仪式[哆啦A梦害怕]  #镜头下的笑容##万物有灵#,0
Oc9GgreUP,郑秀晶 Krystal｜在纽约RL时装秀看秀：   #郑秀晶总裁出街# #郑秀晶看秀G社生图#,0
